"Date Added
BookLooks = Before 4/2025",Book Reference #,"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating,Report Link,Report Tiny,Slicksheet Link,Slicksheet Tiny
2/27/2026,,The Kid,Sapphire,5,https://drive.google.com/file/d/1jnpapQrth3fYVF2uAgQShYUeS55wsnax/view?usp=sharing,https://tinyurl.com/yvvbfy88,,
4/29/2025,,Wolfsong,TJ Klune,5,,https://tinyurl.com/2ytdb6me,,
BookLooks,688,Triangles,Ellen Hopkins,5,https://drive.google.com/file/d/1NZK4eJ10bHZil_koP3021bYa7ST2SLCf/view?usp=drive_link,https://tinyurl.com/38v9yjd6,,
12/30/2025,,Through the Rain,Ariana Godoy,5,https://drive.google.com/file/d/1sqhGh1yGOy7S9sEAHK8Wt9fRCf0hgxp5/view?usp=sharing,https://tinyurl.com/5n7mzpsx,,
8/29/2025,,Things We Never Got Over,Lucy Score,5,https://docs.google.com/presentation/d/1LzO_0iFVB_SMWoXxEtc8BeNpd0wr3oHTnfX9Topcvdk/edit?usp=drive_link,https://tinyurl.com/m48td9nw,,
12/3/2025,,Things We Left Behind,Lucy Score,5,https://drive.google.com/file/d/1NIr1VxkKbYcxqpeHMrlIpvFovMyvhVUC/view?usp=sharing,https://tinyurl.com/22tvhb4b,,
BookLooks,687,"The Trauma Cleaner: One Woman's Extraordinary Life in the Business of Death, Decay, and Disaster",Sarah Krasnostein,5,https://drive.google.com/file/d/1OwD85AemYjg_l0My5CjWntGj-gsJOQQO/view?usp=drive_link,https://tinyurl.com/2d6m62we,https://drive.google.com/file/d/1JqHIAuFm_V5TOJU_ZDPsEk2udiiwhM7G/view?usp=drive_link,https://tinyurl.com/4mffy7ap
9/27/2025,,The Love Hypothesis,Ali Hazelwood,5,https://drive.google.com/file/d/1pmaxqy1WJCSOvptIVAWyCQVUvsYE-Z2G/view?usp=drive_link,https://tinyurl.com/bhveynpp,,
6/30/2025,,The Goal,Elle Kennedy,5,https://drive.google.com/file/d/1YSqFeY3QlQcakrWdms6avvJU-cNW1el1/view?usp=sharing,https://tinyurl.com/2pzatazz,,
8/29/2025,,The Brightest Night,Jennifer Armentrout,5,https://drive.google.com/file/d/1R8jrHbrJgZtDv-h0mN3rXcjW1rLjzZde/view?usp=sharing,https://tinyurl.com/5b73nevv,,
10/27/2025,,Running with Scissors ,Augusten Burroughs,5,https://drive.google.com/file/d/1_U54rPYLfJZDCJBcGepKBZ4TNicWQ-F6/view?usp=sharing,https://tinyurl.com/3d9pe74f,,
12/30/2025,,Rock Bottom Girl,Lucy Score,5,https://drive.google.com/file/d/1bw2HdKfd9NRehGPyS84EaBPwMKVVJiuh/view?usp=sharing,https://tinyurl.com/2sckdzyx,,
4/29/2025,,Punk 57,Penelope Douglas,5,,https://tinyurl.com/4yzrn3jy,,
BookLooks,544,"Opposite Sex: Gay Men on Lesbians, Lesbians on Gay Men",Sara Miles and Eric Rofes,5,https://drive.google.com/file/d/1ucLeO-ELx5dF9exRkp8vy3wM6JjmEJLH/view?usp=drive_link,https://tinyurl.com/mvkdz49t,,
9/27/2025,,Not Forever but For Now,Chuck Palahniuk,5,https://drive.google.com/file/d/1qDpdjgOE_55kpv9aHRu1D3YK0UsszoF1/view?usp=drive_link,https://tinyurl.com/bdeyr36w,,
BookLooks,517,New Millennium Boyz,Alex Kazemi,5,https://drive.google.com/file/d/1LlETVb_QyC63EC2SZZcxlUx6Aw4KYm5m/view?usp=drive_link,https://tinyurl.com/5rxj5d87,https://drive.google.com/file/d/1-Im_-japmzpxePBe9aH6DeSKiTqmqy2U/view?usp=drive_link,https://tinyurl.com/3uwu5srv
6/30/2025,,Love Theoretically,Ali Hazelwood,5,https://drive.google.com/file/d/1TChZLPpw9OH5X_WyT_eKbDZTyW5osmuU/view?usp=sharing,https://tinyurl.com/yyru2rh7,,
9/27/2025,,Kingdom of the Feared,Kerri Maniscalco,5,https://drive.google.com/file/d/1rp5jtyreHHS82zNoaVTUXlPprwvK_Sl5/view?usp=drive_link,https://tinyurl.com/bdfj6bby,,
BookLooks,396,Jack of Hearts (And Other Parts),L.C. Rosen,5,https://drive.google.com/file/d/1rHq3-dM0Br4dXNXovk8rLQbTNvfsRy0n/view?usp=drive_link,https://tinyurl.com/ydvthmfr,https://drive.google.com/file/d/1v8fD6jR9M8ZrnWaf248Whu7cUgiYNY5i/view?usp=drive_link,https://tinyurl.com/yk8wbh9y
6/30/2025,,Iron Flame,Rebecca Yarros,5,https://drive.google.com/file/d/1Edk4vIu6aJ6jM93nuaeOr8zK6Ccc5rQH/view?usp=sharing,https://tinyurl.com/3abus464,,
BookLooks,354,Invisible Monsters Remix,Chuck Palahniuk,5,https://drive.google.com/file/d/1c0U2UNdlXw6LJIuz2pTOay5Sdm8I4gdb/view?usp=drive_link,https://tinyurl.com/449j5w96,https://drive.google.com/file/d/1O_N7K01aEuv2bi-scUzk5Gqfqd9WSGdx/view?usp=drive_link,https://tinyurl.com/n3j6nmky
9/27/2025,,House of Flame and Shadow,Sarah J. Maas,5,https://drive.google.com/file/d/1SbDTCA79YKpomyecYzxugcayN16PI4FQ/view?usp=drive_link,https://tinyurl.com/36bm6whm,,
BookLooks,312,Him,Sarina Bowen and Elle Kennedy,5,https://drive.google.com/file/d/1YK8u9EW5gcHrsdNDHjrR5Yhps_TUgNip/view?usp=drive_link,https://tinyurl.com/6ewhnswx,https://drive.google.com/file/d/1oFHMrDV3F2QOeBhERH1KduvqsxwYd9UN/view?usp=drive_link,https://tinyurl.com/u84twyhr
