Book Reference #,Title,Author,Rating,Report Link
,11/22/1963,Stephen King,4,https://drive.google.com/file/d/1XTPNHxcCH1htXvReqeCxg6OgNXBOmO5S/view?usp=sharing
522,9-Nov,Colleen Hoover,4,https://drive.google.com/file/d/1oAJeL3PDu3uS16juRKiq9SMHThvYpsRw/view?usp=drive_link
118,#BlackLivesMatter: Protesting Racism,Rachel L. Thomas,1,https://drive.google.com/file/d/1P-1CIB1sh2tFlWgzmwL1TMx3XK8VOuoE/view?usp=drive_link
,10 Things I Can See From Here,Carrie Mac,3,https://drive.google.com/file/d/17MeaV1J5gH80IFYq6fcfv0TvEuhkPURv/view?usp=drive_link
542,"10,000 Dresses",Marcus Ewert,1,https://drive.google.com/file/d/19awRk1KP1cvdl15pwkK1NE3ew9WuWA8V/view?usp=drive_link
,"100 Questions You’d Never Ask Your Parents: Straight Answers to Teens’ Questions About Sex, Sexuality and Health","Elizabeth Henderson and Nancy Armstrong, MD",3,https://drive.google.com/file/d/1i8DR1PWIKDqFy-by4YJLcPWPHeGvWH3j/view?usp=drive_link
,100 Sideways Miles,Andrew Smith,3,https://drive.google.com/file/d/1okVISha9eVtPrnMAlexStQL6rNymH6y0/view?usp=drive_link
537,1001 Dark Nights: The Queen: A Wicked Novella,Jennifer L. Armentrout,4,https://drive.google.com/file/d/1ZtHTG_dEzC005YHa47hwOjMugte5-Smg/view?usp=drive_link
540,101 Ways To Dance,Kathy Stinson,3,https://drive.google.com/file/d/1QYP3h6_J7lWKNrvcw3L4VnFSSFNEpfih/view?usp=drive_link
538,19 Love Songs,David Levithan,3,https://drive.google.com/file/d/1gMvVZ6k9G4VDXat-EOi09MsMX4Pqjmmj/view?usp=drive_link
,1Q84,Haruki Murakami,5,https://drive.google.com/file/d/1pwDGYPHZEO8sTTjruovMBB4WiCyW0A7t/view?usp=sharing
,2024: A Graphic Novel,Ted Rall,4,https://drive.google.com/file/d/1MAGiZtzY87LwYm8YAqmH-hHIt6cdv_9F/view?usp=drive_link
,21 Proms,David Levithan,3,https://drive.google.com/file/d/13uJgVUPwOEDGulI8NJ5Zqa7UxWVqcaqb/view?usp=drive_link
539,33 Snowfish,Adam Rapp,3,https://drive.google.com/file/d/1jELUzemHDGzcROPRRqpHvhuHrFGqC8Dg/view?usp=drive_link
,9 Days & 9 Nights,Katie Cotugno,3,https://drive.google.com/file/d/1nsjpuMJbDgS_nVOfPESpCoSU856dn0nJ/view?usp=drive_link
,99 Days,Katie Cotugno,4,https://drive.google.com/file/d/1urfhWCQb2Dw7oAjcLapWEghYXZCRAVko/view?usp=drive_link
,A Beautiful Funeral,Jamie McGuire,4,https://drive.google.com/file/d/14BfCZ4nnLFr5KRb2QHQL-ygtw3o_oN7K/view?usp=sharing
,A Beautiful Wedding,Jamie McGuire,4,https://drive.google.com/file/d/1Pe9yoE5R4cLkgWgTbWwEOl6R9N9jzD6l/view?usp=sharing
,A Book of Horrors,Stephen Jones,4,
146,"A Child Called ""It""",David Pelzer,3,https://drive.google.com/file/d/1uzc7j02-CYKMM0eXlfVUDbTK0WX0L__y/view?usp=drive_link
172,A Church For All,Gayle E. Pitman,1,https://drive.google.com/file/d/1X-gheMvbsTESebaSJ4FV-0WOsDmee84D/view?usp=drive_link
