"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
The Kid,Sapphire,5
Wolfsong,TJ Klune,5
Triangles,Ellen Hopkins,5
Through the Rain,Ariana Godoy,5
Things We Never Got Over,Lucy Score,5
Things We Left Behind,Lucy Score,5
"The Trauma Cleaner: One Woman's Extraordinary Life in the Business of Death, Decay, and Disaster",Sarah Krasnostein,5
The Love Hypothesis,Ali Hazelwood,5
The Goal,Elle Kennedy,5
The Brightest Night,Jennifer Armentrout,5
Running with Scissors ,Augusten Burroughs,5
Rock Bottom Girl,Lucy Score,5
Punk 57,Penelope Douglas,5
"Opposite Sex: Gay Men on Lesbians, Lesbians on Gay Men",Sara Miles and Eric Rofes,5
Not Forever but For Now,Chuck Palahniuk,5
New Millennium Boyz,Alex Kazemi,5
Love Theoretically,Ali Hazelwood,5
Kingdom of the Feared,Kerri Maniscalco,5
Jack of Hearts (And Other Parts),L.C. Rosen,5
Iron Flame,Rebecca Yarros,5
Invisible Monsters Remix,Chuck Palahniuk,5
House of Flame and Shadow,Sarah J. Maas,5
Him,Sarina Bowen and Elle Kennedy,5
Haunted,Chuck Palahniuk,5
Different Seasons,Stephen King,5
Dictionary of American Slang,Barbara Ann Kipfer & Robert L Chapman,5
Closer,Dennis Cooper,5
Bag of Bones,Stephen King,5
American Gods,Neil Gaiman,5
Adam,Ariel Schrag,5
A Restless Truth,Freya Marske,5
A Power Unbound,Freya Marske,5
A Marvelous Light,Freya Marske,5
1Q84,Haruki Murakami,5
Kafka on the Shore ,. Haruki Murakami,5
Wolfsong,TJ Klune,5
Walking Disaster,Jamie McGuire,5
Two More Days: An Anthology,Colleen Hoover and The Bookworm Box,5
Twisted Love,Ana Huang,5
Twisted Lies,Ana Huang,5
Twisted Hate,Ana Huang,5
Tricks,Ellen Hopkins,5
Through You,Ariana Godoy,5
Through My Window,Ariana Godoy,5
Throne of the Fallen,Kerri Maniscalco,5
Things We Hide from the Light,Lucy Score,5
The Worst Best Man,Lucy Score,5
The Voice of the Night,Dean Koontz,5
The Sympathizer,Viet Thanh Nguyen,5
The Bazaar of Bad Dreams,Stephen King,5
Taming 7,Chloe Walsh,5
Sold,Patricia McCormick,5
Snuff,Chuck Palahniuk,5
Say You Swear,Meagan Brandy,5
Saving 6,Chloe Walsh,5
Redeeming 6,Chloe Walsh,5
Reckless,Elsie Silver,5
Push,Sapphire,5
Portnoy's Complaint,Philip Roth,5
Monsters,Ilsa J. Bick,5
Lucky,Alice Sebold,5
Loathe to Love You,Ali Hazelwood,5
Kingdom of the Cursed,Kerri Maniscalco,5
Heartless,Elsie Silver,5
Flawless,Elsie Silver,5
Fifty Shades of Grey,E.I. James,5
Feral Sins,Suzanne Wright,5
Fall With Me,Jennifer Armentrout,5
Doomed,Chuck Palahniuk,5
Dead End,Jason Myers,5
Collected Poems 1947-1980,Allen Ginsberg,5
Choke,Chuck Palahniuk,5
Bride,Ali Hazelwood,5
Born On the Bayou,Blaine Lourd,5
Before,Anna Todd,5
Beautiful You ,Chuck Palahniuk,5
Be With Me,Jennifer Armentrout,5
Apt Pupil,Stephen King,5
American Psycho,Bret Easton Ellis,5
All the Ugly and Wonderful Things,Bryn Greenwood,5
All Played Out,Cora Carmack,5
After We Fell,Anna Todd,5
After We Collided,Anna Todd,5
After Ever Happy,Anna Todd,5
A Stolen LIfe,Jaycee Dugard,5
After Midnight,Elle Kennedy,5
An Untamed State: A Novel,Roxane Gay,5
Bad for You ,Abbi Glines,5
Doctor Sleep,Stephen King,5
Ira Levin's Rosemary's Baby,Ira Levin: Introduction by Chuck Palahniuk; Afterword by R.L. Stine,5
My Dark Vanessa: A Novel,Kate Elizabeth Russell,5
Sibylline,Melissa de la Cruz,5
The Thorn Birds,Colleen McCullough,5
This is Why They Hate Us,Aaron H Aceves,4
Biology Lessons,Melissa Kantor,4
YOLO,Lauren Myracle,4
Working It: Sex Workers on the Work of Sex,Edited by Matilda Bickers with peech breshears and Janis Luna,4
Ugly Love,Colleen Hoover,4
This Is Kind of an Epic Love Story,Kacen Callender,4
This Book Is Gay,Juno Dawson,4
The V-Word,Amber J. Keyser,4
The Shadow of the Wind,Carlos Ruiz ZafÃ³n,4
The Seven Husbands of Evelyn Hugo(sex between adult and a minor),Taylor Jenkins Reid,4
The Little Black Book for Girlz: A Book on Healthy Sexuality,St. Stephen's Community House,4
The Handsome Girl and Her Beautiful Boy,B.T. Gottfred,4
The Gender Binary is a Big Lie: Infinite Identities Around the World ,Lee Wind,4
The Freedom Writers Diary,The Freedom Writers with Erin Gruwell,4
The Duff,Kody Keplinger,4
The Day of the Jackal,Frederick Forsyth,4
The Complete Idiot's Guide to Tantric Sex,Dr. Judy Kurianksy,4
The Coincidence of Callie and Kayden,Jessica Sorensen,4
Suicide Notes: A Novel ,Michael Thomas Ford,4
Suicide Notes from Beautiful Girls,Lynn Weingarten,4
Shine,Lauren Myracle,4
SEX: An Uncensored Introduction,Nikol Hasler,4
"Sex Plus: Learning, Loving, and Enjoying Your Body",Laci Green,4
Sex Is a Funny Word,"Cory Silverberg, Fiona Smyth",4
Serpent & Dove,Shelby Mahurin,4
Saga 3,Brian K Vaughan,4
Saga 2,Brian K Vaughan,4
Saga 1,Brian K Vaughan,4
"S.E.X. the all -you-need-to-know sexuality guide to get you through your teens and twenties, Second Edition",Heather Corinna,4
Romeo and/or Juliet,Ryan North,4
"Red, White and Royal Blue",Casey McQuiston,4
Rant,Chuck Palahniuk,4
Rainbow Boys,Alex Sanchez,4
